1_min,2_min,3_min
0.0008,0.0008,0.0009
0.0008,0.0008,0.0009
0.0008,0.0008,0.00089
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.00089
0.0008,0.0008,0.0008
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.0008,0.00102
0.0008,0.0008,0.00102
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.0008,0.00088
0.0008,0.0008,0.00093
0.0008,0.0008,0.00097
0.0008,0.0008,0.00097
0.0008,0.0008,0.00097
0.0008,0.0008,0.00097
0.0008,0.0008,0.001
0.0008,0.0008,0.001
0.0008,0.0008,0.00079
0.0008,0.0008,0.00079
0.0008,0.0008,0.00079
0.0008,0.0008,0.00079
0.0008,0.0008,0.00079
0.0008,0.0008,0.00079
0.0008,0.0008,0.0008
0.0008,0.0008,0.00102
0.0008,0.0008,0.00102
0.0008,0.0008,0.00108
0.0008,0.0008,0.00117
0.0008,0.0008,0.0014
0.0008,0.0008,0.0014
0.0008,0.0008,0.00103
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.0009,0.00101
0.0008,0.00091,0.00101
0.0008,0.0009,0.00083
0.0008,0.0009,0.0008
0.0008,0.0009,0.00083
0.0008,0.00089,0.00083
0.0008,0.00088,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0009
0.0008,0.0008,0.00102
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.0008,0.00102
0.0008,0.0008,0.00102
0.0008,0.0008,0.00102
0.0008,0.0008,0.00101
0.0008,0.0008,0.00101
0.0008,0.00083,0.00102
0.0008,0.00089,0.00102
0.0008,0.00092,0.00102
0.0008,0.00101,0.00102
0.0008,0.00101,0.00101
0.0008,0.00101,0.00102
0.0008,0.00102,0.00102
0.0008,0.00102,0.00102
0.0008,0.00102,0.0008
0.0008,0.00102,0.0008
0.0008,0.00101,0.0008
0.0008,0.00101,0.0008
0.0008,0.00088,0.00082
0.0008,0.00088,0.00101
0.0008,0.00088,0.00101
0.0008,0.00093,0.00101
0.0008,0.00093,0.00086
0.0008,0.00097,0.00085
0.0008,0.00097,0.00084
0.0008,0.00097,0.00084
0.0008,0.00097,0.00083
0.0008,0.001,0.00082
0.0008,0.001,0.00082
0.0008,0.001,0.00082
0.0008,0.001,0.00081
0.0008,0.00079,0.00081
0.0008,0.00079,0.0008
0.0008,0.00079,0.0008
0.0008,0.00079,0.0008
0.0008,0.00079,0.0008
0.0008,0.00079,0.0008
0.0008,0.00079,0.0008
0.0008,0.00079,0.0008
0.0008,0.0008,0.0008
0.0008,0.0008,0.0008
0.0008,0.0009,0.0008
