Metrics,Size,No. of lines,KPIs,Time-IPFS,TxnFee(MATIC),TxnTime(s)
Core_MANO_Wrapper_Time,12.5,323,3,5,0.00028322,15
Create_AIML_alerts,5.31,62,2,7,0.00009819,10
Create_Monitoring_Jobs,3.36,79,1,9,0.00009818,12
Create_Threshold_Based_Alerts,0.514,4,1,10,0.00009819,14
Hierarchical_SOE_Dispatching ,1.13,18,2,11,0.00009819,25
Operationg_ID_for_Instantiation_OP,1.14,18,2,9,0.00009819,7
PA_Calculation,1.17,12,2,9,0.00009819,17
Retriveving_Deccriptor_from_Catalogue_DB,0.991,17,2,7,0.00009819,18
ROE_created_VL's,1,2,2,10,0.00009819,14
ROE_extract_VL,0.268,12,2,10,0.00009819,14
ROE_Parsing_NSD,0.393,8,2,12,0.00009819,24
ROE_Retrieve_RL_Resourses,38.7,1060,3,7,0.00009819,12
ROE_Time,41.6,1097,2,6,0.00009819,12
ROE_Updating,0.365,3,2,3,0.00009819,8
SOE_Time,11.3,180,2,5,0.00009819,12
Total_Instantiation_Time ,74.1,1724,5,5,0.00009819,12
