TxnFee(MATIC),TxnFee(USD)
0.000222176,0.000184873
0.000651394,0.000542025
0.000428506,0.00035656
0.000232294,0.000193292
0.000435564,0.000362433
0.00073071,0.000608024
0.000536628,0.000446528
0.00056164,0.000467341
0.000428386,0.00035646
0.000620274,0.00051613
0.000767512,0.000638647
0.000438266,0.000364681
0.000483874,0.000402632
0.000479498,0.00039899
0.000451966,0.000376081
0.0003705,0.000308293
0.000228796,0.000190381
0.0003755,0.000312454
0.000487372,0.000405542
0.000360122,0.000299658
0.000229358,0.000190849
0.000211654,0.000176117
0.000218526,0.000181835
0.000456858,0.000380152
0.000483898,0.000402652
0.000479522,0.00039901
0.00073071,0.000608024
0.000360122,0.000299658
0.000229358,0.000190849
0.000443998,0.000369451
0.000228796,0.000190381
0.0004404,0.000366457
0.000211654,0.000176117
0.000522006,0.000434361
0.000487372,0.000405542
0.0003705,0.000308293
0.00043741,0.000363969
0.000791974,0.000659002
0.000479522,0.00039901
0.000360122,0.000299658
0.000483898,0.000402652
0.0003755,0.000312454
0.000218526,0.000181835
0.000229358,0.000190849
0.000211654,0.000176117
0.000232294,0.000193292
0.000442656,0.000368334
0.000228796,0.000190381
0.000451966,0.000376081
0.000487372,0.000405542
0.000456858,0.000380152
0.000360122,0.000299658
0.000943088,0.000784744
0.000479522,0.00039901
0.000229358,0.000190849
0.000483898,0.000402652
0.0003705,0.000308293
0.0003755,0.000312454
0.000211654,0.000176117
0.000218526,0.000181835
0.000228796,0.000190381
0.0004404,0.000366457
0.000487372,0.000405542
0.000360122,0.000299658
0.000522006,0.000434361
0.000443998,0.000369451
0.00043741,0.000363969
0.000791974,0.000659002
0.000229358,0.000190849
0.000456858,0.000380152
0.000483898,0.000402652
0.000479522,0.00039901
0.000435534,0.000362408
0.000232294,0.000193292
0.000228796,0.000190381
0.000211654,0.000176117
0.0003755,0.000312454
0.0003705,0.000308293
0.000222176,0.000184873
0.0004404,0.000366457
0.000218526,0.000181835
0.000487372,0.000405542
0.000360122,0.000299658
0.000791974,0.000659002
0.000479522,0.00039901
0.000229358,0.000190849
0.000228796,0.000190381
0.000211654,0.000176117
0.000578514,0.000481381
0.000456858,0.000380152
0.0003755,0.000312454
0.000360122,0.000299658
0.000487372,0.000405542
0.000451966,0.000376081
0.0003705,0.000308293
0.00043741,0.000363969
0.000853238,0.000709979
0.000522006,0.000434361
0.000218526,0.000181835
0.000443998,0.000369451
0.000430254,0.000358014
0.000229358,0.000190849
0.000479522,0.00039901
0.000228796,0.000190381
0.000232294,0.000193292
0.000483898,0.000402652
0.000211654,0.000176117
0.000487372,0.000405542
0.000360122,0.000299658
0.00073071,0.000608024
0.0003755,0.000312454
0.0004404,0.000366457
0.000479522,0.00039901
0.000229358,0.000190849
0.0003705,0.000308293
0.000228796,0.000190381
0.000211654,0.000176117
0.000218526,0.000181835
0.000456858,0.000380152
