TxnFee(MATIC),TxnFee(USD)
0.000826962,0.00069101
0.00143714,0.001200874
0.00088557,0.000739983
0.000892075,0.000745418
0.001526273,0.001275354
0.000743505,0.000621273
0.001191528,0.000995641
0.00136871,0.001143694
0.000748188,0.000625186
0.000802697,0.000670734
0.00198137,0.001655632
0.001191572,0.000995677
0.000813209,0.000679517
0.00046286,0.000386766
0.000662508,0.000553592
0.001981224,0.00165551
0.002684783,0.002243405
0.000813209,0.000679517
0.000813209,0.000679517
0.000498444,0.0004165
0.000813209,0.000679517
0.002672913,0.002233486
0.000857407,0.000716449
0.000662617,0.000553683
0.000405592,0.000338912
0.000530122,0.00044297
0.000894732,0.000747638
0.000447859,0.000374231
0.000888406,0.000742352
0.000852731,0.000712542
0.000441384,0.00036882
0.000570152,0.000476419
0.000418578,0.000349764
0.000418578,0.000349764
0.001869563,0.001562207
0.000498517,0.000416561
0.002684783,0.002243405
0.00046286,0.000386766
0.00143714,0.001200874
0.000795599,0.000664803
0.00077979,0.000651592
0.000851799,0.000711763
0.000635282,0.000530841
0.000822171,0.000687006
0.000858036,0.000716974
0.00077979,0.000651592
0.00077979,0.000651592
0.001943074,0.001623633
0.000857962,0.000716913
0.000851897,0.000711845
0.000429454,0.000358851
0.001142603,0.000954759
0.00077979,0.000651592
0.002563068,0.002141699
0.001142561,0.000954724
0.000401377,0.00033539
0.000607408,0.00050755
0.000423245,0.000353663
0.001943214,0.00162375
0.000388924,0.000324984
0.000635387,0.000530929
0.00257445,0.00215121
0.000401611,0.000335586
0.000401377,0.00033539
0.000401377,0.00033539
0.000443839,0.000370871
0.000822171,0.000687006
0.00077979,0.000651592
0.00047803,0.000399442
0.00077979,0.000651592
0.00137808,0.001151523
0.000635282,0.000530841
0.000508337,0.000424766
0.00047796,0.000399383
0.000851799,0.000711763
0.000401377,0.00033539
0.000857962,0.000716913
0.000858036,0.000716974
0.000795599,0.000664803
0.000419654,0.000350662
0.000717441,0.000599493
0.00077979,0.000651592
0.000851897,0.000711845
0.00168538,0.001408303
0.000630231,0.000526621
0.000817688,0.00068326
0.002563068,0.002141699
0.000388934,0.000324993
0.00077979,0.000651592
0.000423245,0.000353663
0.00137808,0.001151523
0.000401377,0.00033539
0.000635387,0.000530929
0.00047803,0.000399442
0.000388924,0.000324984
0.000857962,0.000716913
0.000851897,0.000711845
0.000851799,0.000711763
0.000822171,0.000687006
0.00257445,0.00215121
0.00137808,0.001151523
0.00047803,0.000399442
0.00168552,0.00140842
0.000858036,0.000716974
0.000443839,0.000370871
0.000429454,0.000358851
0.000546721,0.00045684
0.00077979,0.000651592
0.00077979,0.000651592
0.00077979,0.000651592
0.00077979,0.000651592
0.000795599,0.000664803
0.00168538,0.001408303
0.000423245,0.000353663
0.002563068,0.002141699
0.000635282,0.000530841
0.000857962,0.000716913
0.00047803,0.000399442
0.000401377,0.00033539
0.000401377,0.00033539
0.000822171,0.000687006
0.000851799,0.000711763
0.000851897,0.000711845
0.00168552,0.00140842
0.00137808,0.001151523
0.000419654,0.000350662
0.00257445,0.00215121
0.000635387,0.000530929
0.000388924,0.000324984
0.000607408,0.00050755
0.00168538,0.001408303
0.00077979,0.000651592
0.00077979,0.000651592
0.000858036,0.000716974
0.00077979,0.000651592
0.00047796,0.000399383
0.000795599,0.000664803
0.000423245,0.000353663
0.002563068,0.002141699
0.000508337,0.000424766
0.00077979,0.000651592
0.000401377,0.00033539
0.000822171,0.000687006
0.00046286,0.000386766
0.000498517,0.000416561
0.000888304,0.000742267
0.002795117,0.002335599
0.000436035,0.000364351
0.001496201,0.001250225
0.000931502,0.000778363
0.000924916,0.00077286
0.001946394,0.001626407
0.000689734,0.000576342
0.000450688,0.000376595
0.000918146,0.000767203
0.001282933,0.001072019
0.001221876,0.001021
0.000875592,0.000731645
0.000482215,0.000402939
0.000880791,0.000735989
0.000711861,0.000594831
0.000880791,0.000735989
0.001290597,0.001078423
0.000969171,0.00080984
0.001903676,0.001590712
0.000507455,0.000424029
0.000544172,0.00045471
0.000816926,0.000682623
0.000922424,0.000770777
0.000500045,0.000417837
0.003295373,0.002753613
0.001002587,0.000837761
0.001022913,0.000854746
0.00109517,0.000915124
0.001057077,0.000883294
0.00061461,0.000513568
0.001771817,0.00148053
0.001103094,0.000921745
0.001095296,0.000915229
0.001687451,0.001410034
0.003310007,0.002765841
0.003856275,0.003222303
0.000985877,0.000823799
0.001995255,0.001667235
0.000691212,0.000577576
0.000561139,0.000468887
0.00324045,0.00270772
0.000542952,0.000453691
0.001084802,0.000906461
0.000985877,0.000823799
0.000985877,0.000823799
0.000544172,0.00045471
0.000516056,0.000431216
0.000516056,0.000431216
0.000816791,0.00068251
0.001076917,0.000899872
0.001084709,0.000906383
0.000985877,0.000823799
0.001039459,0.000868572
0.001005864,0.0008405
0.000604367,0.000505009
0.001077041,0.000899975
0.000507455,0.000424029
0.00080331,0.000671246
0.001742286,0.001455854
0.000616668,0.000515288
0.00325484,0.002719744
0.002130978,0.001780645
0.00049171,0.000410873
0.000985877,0.000823799
0.000507455,0.000424029
0.000767937,0.000641688
0.000642683,0.000537026
0.000985877,0.000823799
0.000530562,0.000443338
0.00324045,0.00270772
0.000985877,0.000823799
0.002266348,0.00189376
0.001084802,0.000906461
0.000535102,0.000447131
0.00325484,0.002719744
0.001084709,0.000906383
0.001039459,0.000868572
0.001077041,0.000899975
0.000604367,0.000505009
0.000507455,0.000424029
0.000806549,0.000673952
0.001076917,0.000899872
0.000985877,0.000823799
0.000491724,0.000410884
0.002130978,0.001780645
0.001742286,0.001455854
0.001005864,0.0008405
0.000561139,0.000468887
0.000803177,0.000671135
0.000985877,0.000823799
0.000530562,0.000443338
0.000985877,0.000823799
0.001444577,0.001207088
0.001033791,0.000863835
0.000985877,0.000823799
0.000507751,0.000424277
0.001444524,0.001207044
0.000507455,0.000424029
0.002502311,0.002090931
0.00080331,0.000671246
0.000535102,0.000447131
0.001077041,0.000899975
0.001084802,0.000906461
0.00324045,0.00270772
0.000796792,0.000665799
0.00049171,0.000410873
0.001084709,0.000906383
0.001039459,0.000868572
0.00325484,0.002719744
0.00090705,0.000757931
0.000507455,0.000424029
0.000604367,0.000505009
0.001076917,0.000899872
0.001742286,0.001455854
0.002502488,0.002091079
0.000985877,0.000823799
0.000530562,0.000443338
0.001005864,0.0008405
0.001995255,0.001667235
0.000985877,0.000823799
0.000535102,0.000447131
0.000985877,0.000823799
0.001077041,0.000899975
0.000985877,0.000823799
0.00325484,0.002719744
0.00324045,0.00270772
0.000561139,0.000468887
0.000604278,0.000504935
0.000691212,0.000577576
0.001084802,0.000906461
0.001742286,0.001455854
0.001084709,0.000906383
0.000803177,0.000671135
0.001076917,0.000899872
0.000604367,0.000505009
0.001039459,0.000868572
0.000507455,0.000424029
0.000507455,0.000424029
0.000642683,0.000537026
0.002130801,0.001780498
0.002130978,0.001780645
0.00080331,0.000671246
0.000985877,0.000823799
0.00324045,0.00270772
0.000985877,0.000823799
0.001005864,0.0008405
0.000985877,0.000823799
0.000985877,0.000823799
0.00325484,0.002719744
0.00049171,0.000410873
0.001077041,0.000899975
0.000535102,0.000447131
0.000542952,0.000453691
0.000767937,0.000641688
0.001084709,0.000906383
0.002130978,0.001780645
0.000561139,0.000468887
0.001039459,0.000868572
0.001659326,0.001386533
0.001444524,0.001207044
0.000985877,0.000823799
0.002130801,0.001780498
0.000803177,0.000671135
0.000535102,0.000447131
0.001742286,0.001455854
0.001444577,0.001207088
0.000985877,0.000823799
0.001084802,0.000906461
0.000507455,0.000424029
0.001076917,0.000899872
0.000985877,0.000823799
0.000604367,0.000505009
0.000530562,0.000443338
0.000507455,0.000424029
0.001077041,0.000899975
0.002130978,0.001780645
0.000796792,0.000665799
0.00324045,0.00270772
0.00325484,0.002719744
0.00080331,0.000671246
0.000985877,0.000823799
0.001084709,0.000906383
0.001005864,0.0008405
0.00049171,0.000410873
0.000985877,0.000823799
